demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
14006,31,110,9286,176,44,179
14807,0,7,2811,9,2,7
83263,166,37,8638,274,2,181
53813,70,62,5670,2,43,12
65320,0,0,34,0,0,0
83262,286,0,979,0,0,43
35956,442,0,8551,14,6,131
14004,25,1018,10720,305,8,287
84111,1222,532,7596,491,347,667
31011,20,156,645,16,0,25
61027,0,0,8,0,0,0
84112,64,7,888,29,431,57
14808,0,0,477,12,0,5
60656,1336,292,21627,1750,2013,908
14005,49,16,1770,28,2,0
84109,532,38,22126,559,696,477
65305,149,214,3091,246,65,288
54229,70,47,4183,4,136,14
44074,67,1484,8342,509,452,740
30504,10419,1757,8733,2918,823,595
64688,0,0,506,1,0,0
44080,0,0,53,0,0,0
84118,14839,929,43782,4984,2679,3259
65322,3,7,551,5,0,0
43738,0,0,106,0,0,0
84144,0,0,172,0,18,0
54241,335,158,13778,73,36,222
83244,0,1,236,0,0,0
31019,0,315,2037,10,6,0
44084,7,43,3317,1,0,8
53806,8,0,1752,3,0,34
14818,0,0,1778,20,0,6
61031,16,18,1558,0,37,0
83245,7,12,1943,9,4,29
13861,0,6,289,0,0,57
30473,85,384,1691,20,6,46
84128,7167,326,15218,1797,382,1710
64674,10,0,414,23,0,1
31018,77,1490,1069,50,11,0
13860,0,0,95,0,0,0
64673,31,16,2187,7,11,37
14819,0,0,799,0,0,2
65325,35,0,3247,106,14,3
65326,12,60,2111,18,9,115
35959,40,259,4306,6,21,45
54245,76,4,2129,3,9,49
83241,193,0,1780,5,0,25
44085,0,0,3422,38,44,0
64672,0,0,231,0,5,0
60653,348,28142,1312,256,376,611
13862,6,14,4407,42,2,33
13856,9,46,5953,200,0,50
14820,2,2,828,0,0,2
84301,31,0,820,2,0,9
53805,0,269,4802,37,13,116
30471,196,1701,3430,55,5,103
83243,0,0,98,0,0,0
13859,0,0,344,0,0,8
84180,0,0,0,0,0,0
31020,0,836,1245,0,0,78
84124,585,135,19421,637,876,631
65324,0,3,1352,10,0,48
35620,113,327,8039,101,0,169
14815,11,9,960,8,0,0
53808,0,22,1116,0,0,7
84120,14254,905,25136,4480,3232,3374
83251,14,0,1113,0,1,6
13865,4,6,6125,6,32,18
43740,0,0,302,0,0,46
84119,18655,1626,24821,3299,2633,3996
44081,335,221,6365,35,43,122
31016,0,749,747,0,0,0
61030,44,0,2278,15,0,125
13901,44,1223,16364,789,329,411
14814,0,9,1665,0,176,0
35621,5,0,3257,0,6,29
83252,135,0,3919,27,0,90
30475,0,0,0,0,0,0
64681,0,0,177,0,0,1
54234,0,0,1436,0,12,7
84106,1903,891,29025,868,1109,1366
64679,0,0,666,2,1,13
65323,2,0,892,0,0,27
14817,46,133,2175,14,25,101
43739,50,0,2341,0,0,55
44082,0,0,1750,26,0,23
83246,0,0,763,17,2,2
54235,230,122,15717,321,115,300
35958,0,0,2936,0,18,285
53807,65,48,4787,4,5,54
13864,8,0,1002,29,0,0
84123,5593,899,26908,1778,1841,2259
14816,0,0,448,51,16,4
13863,2,10,721,14,0,22
64676,3,0,287,3,0,2
30474,1259,4531,10597,341,251,156
31017,0,310,1255,10,1,5
83250,36,2,1253,12,0,41
84121,1277,187,35021,1187,1564,1399
60654,418,927,12707,554,2051,671
14805,0,24,977,33,0,15
31008,350,4302,12651,164,166,228
54228,68,4,2590,0,0,23
14782,0,16,2423,45,10,55
30912,10,122,60,2,6,15
35952,662,90,6200,72,0,259
65282,0,0,139,0,0,45
44060,160,410,57871,565,862,676
14034,53,442,2227,171,0,64
84087,317,80,13949,340,424,303
83302,43,0,65,0,0,0
30516,8,179,1218,3,0,28
14781,0,11,2076,21,0,11
53827,0,0,238,17,0,0
35643,121,843,1906,0,0,216
64730,117,152,6183,12,4,112
54214,0,0,236,0,0,0
14035,0,0,103,0,0,0
83301,7023,495,43774,950,995,1201
84088,4350,545,27088,2489,888,2037
14033,0,0,2015,0,5,25
43756,0,125,4961,0,7,191
65283,0,0,427,0,5,0
14031,0,116,9200,252,310,191
64726,5,0,330,0,0,30
14783,0,0,181,0,0,170
84093,804,178,20717,439,852,798
44062,174,19,14579,40,83,59
31001,36,2076,2450,32,13,50
84086,0,0,394,7,0,0
60660,5265,5724,21716,2607,5004,1174
14032,8,27,7780,122,213,37
30513,95,33,10540,86,0,282
84092,843,227,26729,741,776,716
61020,396,84,2647,5,22,101
53826,0,10,1068,16,0,72
54216,172,4,6015,34,55,131
64728,7,0,504,0,1,2
83287,0,0,211,9,0,0
83311,59,0,588,0,0,0
14779,95,171,4418,368,7,1613
65281,2,66,2768,10,0,44
65280,0,0,207,0,0,0
14777,0,15,502,0,0,33
35951,1776,79,9208,815,15,250
44056,89,1068,9512,165,336,500
43759,1,0,55,0,0,0
53910,82,30,2747,67,11,39
84082,14,4,918,60,3,2
64734,14,0,1831,0,5,40
14040,27,0,2056,18,0,16
30906,677,39497,16458,1703,384,1226
84081,5299,454,35151,2799,1100,1835
35645,96,186,13314,122,69,205
30518,5903,5278,28154,4852,3654,1351
14041,0,0,170,0,0,9
61018,15,3,857,5,0,46
14775,7,25,2400,23,0,6
83314,268,0,762,30,0,12
35640,444,1221,22636,335,322,476
14039,0,0,108,0,0,0
83313,741,0,2449,291,81,81
84085,0,0,147,0,0,248
14036,18,26,4905,32,20,91
30909,947,18893,19707,1383,1201,949
43758,31,141,2752,0,2,74
44057,443,166,18347,23,128,377
60661,237,416,5426,332,2768,164
83312,0,0,178,0,0,0
30907,640,7225,37976,1487,2991,1346
61019,31,18,3320,0,23,37
53901,481,572,13144,30,0,302
30517,386,719,10276,619,394,438
84084,5329,441,27478,1448,1049,1738
14037,6,0,870,36,0,0
54213,19,3,1239,0,0,22
64733,26,0,1178,0,7,10
84083,982,6,397,128,0,0
14778,2,74,1099,168,58,27
14821,15,16,3118,36,3,5
83286,45,0,1217,7,1,0
43755,11,0,1412,36,0,80
84103,1024,294,18352,748,859,740
54227,17,0,1551,0,9,29
14013,18,11,1179,7,31,496
64722,11,0,434,0,0,8
53818,108,288,14753,103,209,191
84102,1179,266,13759,664,1579,703
65286,0,0,98,0,0,0
43750,0,0,171,0,0,0
44067,41,1763,17275,257,732,417
83277,0,0,235,0,0,0
14020,132,956,20112,657,210,658
31006,6,1944,2404,13,62,0
30510,837,616,6644,147,104,76
14802,23,415,3334,246,219,36
61024,34,2,2349,0,0,17
14803,0,12,803,3,32,5
64720,0,13,3763,24,6,106
31007,155,493,376,0,12,1
35633,294,1361,19050,131,238,391
61025,32,28,4532,19,70,107
84105,800,220,19176,562,470,724
43749,0,0,2584,0,0,22
83274,991,18,8287,56,62,92
35954,340,1259,9451,88,27,282
14011,58,1857,7010,694,34,206
64701,307,247,13208,15,17,454
84101,304,235,3035,133,324,205
65287,12,0,480,0,0,2
44070,294,805,28702,826,1090,476
14804,6,3,1415,5,21,14
84104,10182,932,8361,1236,1880,3159
14012,198,0,2213,10,0,32
60657,2189,1814,57165,2337,4797,1803
30507,10279,3686,11696,3184,635,325
83276,68,0,3622,39,4,133
53817,0,0,151,0,0,0
83278,7,0,291,6,0,22
14024,0,7,1726,17,10,10
65285,70,0,660,0,0,0
61021,1109,1583,19527,333,124,462
53821,70,248,7836,42,0,115
84096,2508,672,34128,989,260,1771
65284,85,11,1896,0,6,31
14028,0,2,1491,3,1,61
14787,33,6,4607,233,50,0
83285,0,0,174,0,0,11
31003,0,20,110,0,0,0
84095,1951,526,55842,1487,1839,1672
30512,241,128,18730,376,161,215
54217,150,8,6766,19,10,111
64725,22,93,2364,20,3,95
14030,3,0,1630,18,0,12
31002,11,330,2184,0,0,56
84094,1261,92,24156,1257,715,765
53825,5,0,525,3,7,6
44064,1,0,1477,0,20,143
14784,0,0,700,3,7,8
83283,12,0,185,0,0,0
14788,0,1,195,13,0,0
84098,1183,121,16062,369,547,270
14801,0,20,5428,29,23,111
53820,0,0,2360,16,19,1
14025,0,6,2726,30,0,0
64723,13,0,550,10,0,18
54220,1473,211,34567,334,2017,845
43754,0,5,1769,9,0,0
30511,798,97,2850,28,9,136
44065,11,44,4415,15,103,45
83281,0,0,183,0,0,0
60659,4509,3183,16562,2695,10678,1368
35953,38,963,6229,96,26,250
35634,2,689,8431,0,1,194
84097,1144,83,18492,549,345,865
64724,53,18,1798,19,0,38
14026,0,9,646,0,0,0
31005,754,4539,11976,465,190,329
65279,0,1,1639,2,3,14
35619,32,98,4100,13,23,108
13850,105,907,18408,562,2030,279
84333,167,9,2702,9,13,39
61043,19,0,81,0,0,0
83210,1464,0,1545,26,0,140
30452,0,276,887,13,1,0
44103,18,13119,2124,783,465,304
65340,715,1002,12054,1330,49,627
53713,5063,3569,9969,1023,2156,1142
13809,13,18,1973,91,0,14
84332,278,0,6920,0,47,103
64652,0,0,474,0,5,2
14850,620,2826,46674,3064,9977,2998
31036,461,4121,7790,47,0,263
13810,0,9,971,15,16,5
60646,1916,201,20563,1549,2779,446
30453,1530,3731,4417,269,0,174
14853,4,429,2111,112,147,61
13808,3,0,1465,15,16,35
31037,343,1938,2340,101,2,4
43725,48,412,18838,218,106,509
64650,12,20,688,37,0,6
31038,0,157,539,0,12,0
13806,0,0,229,1,36,2
30451,0,12,15,0,0,4
14854,0,0,28,0,0,0
84335,507,2,11370,93,151,221
44104,77,20347,302,271,0,354
54313,441,132,34768,277,746,1510
53711,3839,2691,36631,1558,2376,1233
13807,3,4,1188,7,12,10
35610,0,0,2130,0,0,3
83209,77,58,796,51,94,89
84334,0,0,432,0,0,0
35966,0,0,3795,0,0,101
54401,603,314,25906,346,2877,844
64651,2,0,716,0,2,49
65344,0,2,224,1,0,18
84336,37,0,265,0,0,0
84331,1,0,374,0,0,0
35611,2276,4660,17263,468,116,681
64654,0,0,43,0,0,1
83214,3,0,573,0,1,17
14845,59,181,19005,292,831,360
54311,2131,612,29424,1014,1344,576
35963,0,0,1229,0,0,55
31033,0,704,1356,0,0,24
84327,6,0,913,0,0,9
43728,14,163,1053,0,0,49
83215,0,0,16,0,0,1
14843,49,104,12100,255,95,365
13815,45,160,12807,222,117,93
64655,0,7,348,0,0,6
31032,66,3104,10822,110,7,189
84326,62,0,1625,31,0,188
30455,14,105,439,5,0,0
13813,0,0,483,0,0,148
53715,620,546,10716,302,1748,534
84328,49,0,1637,2,0,13
65338,29,9,2525,16,11,27
83212,0,0,157,0,0,1
14847,8,15,2263,14,20,68
44102,1050,11430,20651,10404,590,1738
65339,0,0,710,0,2,10
53714,958,1379,12594,146,459,707
13811,14,47,4352,15,2,88
84330,0,4,408,18,1,0
43727,0,0,1062,20,0,13
64653,0,0,694,8,0,1
31035,44,528,749,0,11,18
83213,87,30,1369,0,0,7
84329,0,0,87,0,0,0
13812,0,14,2359,33,23,80
61042,19,13,436,0,0,0
44101,16,177,406,24,2,20
14846,4,1,811,8,0,0
30454,0,0,762,0,0,0
60645,7065,8341,20649,1398,7825,1853
83204,877,44,15966,160,232,792
14855,0,1,1079,3,0,0
14861,0,0,1215,0,0,0
84403,5297,512,27831,1662,771,1614
13795,0,14,3261,277,0,29
43722,0,0,326,0,0,9
31044,0,1929,1442,0,0,38
54406,25,15,3233,3,12,33
83127,57,0,3224,7,2,88
35601,4911,8699,17638,1115,185,727
44107,707,3462,42532,1768,804,1858
64646,0,0,219,0,0,0
84401,7802,616,24887,1766,598,1097
13796,16,2,1349,80,0,9
65348,1,3,1276,0,0,65
14860,0,0,1227,7,0,1
53704,2324,4868,32549,957,3139,1458
83126,10,0,289,0,0,31
30448,0,13,14,0,0,0
53703,609,830,25635,700,1631,809
13794,0,0,29,0,0,0
30446,4,592,928,0,0,21
83123,0,0,412,8,4,54
53702,0,0,64,0,0,0
14865,7,26,2848,79,14,31
54407,6,16,1564,8,2,10
31045,0,41,14,0,0,0
13790,37,1197,14319,486,1385,610
31042,64,999,622,0,0,1
84405,3020,257,27050,617,273,545
83124,0,0,131,0,1,7
61047,27,2,1962,0,0,60
64645,3,0,155,0,0,0
14864,0,0,1120,0,2,34
65349,99,141,2047,13,0,203
35968,52,36,4085,132,9,96
84404,12035,543,43226,2428,457,1356
44108,46,20554,1263,81,22,475
84341,1183,183,18210,1095,962,446
83128,100,10,1071,12,18,42
13797,0,0,2155,22,0,58
84338,23,2,344,0,0,2
83202,1929,15,17666,211,249,3122
44105,264,27671,8183,874,113,745
13803,8,28,4133,46,23,64
61044,0,0,290,0,0,26
14856,0,0,234,0,0,0
30450,2,815,1265,15,19,116
35603,1266,3548,24327,421,219,1264
83203,37,0,38,0,0,204
84337,1260,16,10417,119,153,76
31039,0,0,0,0,0,0
53706,212,147,4637,66,917,249
65345,0,0,630,0,0,0
64649,0,0,377,0,0,17
13804,0,6,539,16,0,17
54403,653,326,20875,67,2558,636
43724,56,794,8050,54,15,272
44099,0,43,2077,0,0,0
14858,0,0,1566,17,0,44
13802,0,0,553,0,15,30
60644,1526,46006,1097,739,20,257
64647,0,0,383,0,0,0
30449,0,53,110,0,0,0
65347,0,8,735,0,0,3
84340,238,7,3183,18,12,153
44106,212,11372,10463,471,2411,628
14859,10,0,702,0,3,8
64648,8,4,2312,2,1,9
61046,66,13,2492,0,20,35
83201,3085,368,31336,451,383,1587
13801,4,4,1202,11,4,114
54405,542,4,2412,22,11,15
35967,1356,497,12302,1821,64,445
84339,267,67,4420,27,0,121
53705,568,540,17943,547,3787,916
31041,1,449,290,0,69,1
43723,45,0,4718,38,0,165
65337,584,46,1228,28,0,19
83217,54,13,749,4,0,5
60647,24287,5106,35567,19755,2246,1905
35616,172,473,3631,0,23,33
83234,54,8,1558,19,0,11
43734,0,0,1681,0,0,0
53801,32,2,878,0,14,18
84310,60,0,4071,31,0,79
13843,0,0,1948,0,8,45
65330,7,0,383,0,0,0
44089,311,1,14937,198,39,168
31024,935,5424,13011,421,64,310
64667,53,0,342,3,10,39
84309,20,0,463,0,0,0
83235,1,0,36,0,0,0
13844,0,28,866,0,0,36
14825,0,2,765,0,0,14
35960,166,711,9212,0,52,247
14826,0,3,1912,34,0,33
61037,23,0,111,0,0,0
13842,0,36,537,38,2,10
84311,6,0,790,14,10,0
13839,0,0,930,35,12,13
84313,0,0,86,0,0,0
14830,96,471,18412,220,337,429
83232,109,0,408,3,0,7
60651,12131,34427,2260,11809,305,827
65332,0,6,1394,6,0,32
53792,0,0,0,0,0,0
53802,0,0,38,0,0,0
84312,241,0,3220,27,58,143
44090,46,72,10811,195,19,226
14827,0,0,98,0,0,0
83233,0,0,12,0,0,0
30461,204,3368,9994,188,255,387
54301,1646,586,17845,480,437,1208
31025,37,383,711,8,0,146
64664,0,0,512,0,0,0
13841,0,1,532,14,0,81
30464,0,36,30,0,0,0
54247,29,0,2145,6,4,20
60652,14980,20380,5141,1583,312,832
13847,0,0,65,0,0,0
54246,11,2,844,2,7,5
65327,0,0,247,0,0,5
83238,16,0,91,0,0,0
14822,5,0,1217,18,28,29
84305,20,0,742,19,0,0
44086,0,42,2468,0,6,48
14823,0,33,3605,22,0,0
30470,0,9,298,0,0,19
43736,0,0,68,0,0,0
83239,7,11,520,6,0,8
64671,14,20,1869,22,23,88
31021,482,12547,14328,97,486,120
84304,0,0,0,0,0,0
53804,14,0,1400,22,0,11
61032,995,4258,23738,376,304,1024
13849,0,18,3704,32,0,25
43733,0,0,0,0,0,0
31022,12,253,1280,25,0,39
53803,0,15,1286,0,0,6
31023,536,3687,9205,35,104,541
84308,76,0,207,0,0,14
13845,0,0,59,0,0,0
83236,76,0,1907,0,3,11
64668,0,21,1438,0,0,17
14824,0,0,384,7,23,10
84307,52,0,1234,2,31,5
83237,192,0,748,30,1,0
44087,266,3449,14357,260,1183,829
61036,331,15,6203,32,0,26
35618,5,1202,725,18,0,12
13846,0,0,270,0,0,0
43735,0,0,494,0,0,0
30467,152,5175,6365,71,31,199
64670,20,59,1131,24,0,14
84306,0,0,311,0,0,0
65329,0,0,370,0,0,9
84302,1857,130,21244,592,120,817
64661,6,1,1071,3,8,15
30460,56,603,609,21,14,58
13827,194,136,10547,159,77,279
64657,3,0,272,0,0,11
83220,0,6,168,0,0,0
14840,9,38,2783,22,0,14
54304,1252,748,22639,506,805,1706
43731,15,0,5304,24,0,172
83221,4585,114,19890,288,396,1541
84320,203,0,2302,48,6,49
31030,1379,9719,6421,248,213,144
13830,17,91,4792,165,8,51
35962,1530,4,6789,1222,22,124
61039,7,0,920,24,8,1
84319,1345,97,6308,189,0,113
65335,0,0,165,0,0,0
44094,300,1609,32199,251,829,439
84321,4381,423,35939,2008,1539,1762
31031,15,1521,4355,29,0,178
30456,0,1200,998,0,34,21
53717,127,850,9375,207,1506,489
53716,701,798,15839,443,296,525
13820,180,762,19123,1212,382,484
14842,0,0,940,0,0,0
35613,694,2515,19572,201,123,715
84325,9,0,2159,0,3,8
61041,15,5,914,11,19,33
54307,25,522,340,61,20,92
14839,0,0,817,0,0,2
13825,0,9,3271,2,20,114
64656,0,0,204,13,2,3
83218,28,0,308,0,0,7
14841,0,0,581,0,0,18
84324,12,0,558,12,27,26
44095,395,1148,30687,294,337,488
13826,0,0,13,0,0,0
65336,233,391,4552,70,65,306
43730,0,3,2292,18,0,44
53718,295,711,9674,261,749,402
35614,591,237,7719,0,82,44
30457,38,2069,4086,67,0,20
31028,0,1267,3993,61,275,183
61038,45,0,930,0,0,0
35615,0,75,105,0,0,0
83227,42,0,135,0,0,0
13835,0,0,1262,1,0,22
84315,406,69,7523,200,84,127
65333,9,0,676,5,3,5
84316,4,0,245,0,2,0
64660,0,10,532,2,0,2
44092,66,1659,14127,227,174,310
14836,0,0,906,0,0,4
13838,15,9,4432,178,0,98
83228,4,0,693,29,0,24
54302,6753,909,18409,1780,1545,1823
84314,15,4,830,38,15,15
35961,879,269,4922,769,32,170
53726,19,126,4793,66,544,75
31027,453,3069,5678,50,14,77
13834,0,9,149,0,0,0
30458,737,15005,24278,1171,774,1074
13832,0,9,656,14,0,0
64658,73,12,2982,0,16,69
60649,453,41943,1401,400,244,777
83223,0,0,119,0,0,7
84318,124,79,3938,55,10,131
31029,160,4858,11564,265,119,143
13833,0,0,3949,0,19,99
14837,5,31,5537,35,15,30
84317,51,101,2068,31,0,0
53719,1546,2520,22728,780,3132,635
14838,0,8,1984,14,11,39
54303,1356,1376,20141,1288,1701,1907
44093,0,0,1129,0,0,188
83226,59,0,2237,11,0,17
64659,10,0,930,2,0,13
43732,5,20,1491,0,0,13
65334,21,0,1013,0,0,51
64863,564,8,878,56,24,88
32206,16,12356,3411,289,120,628
85212,4494,739,20860,780,794,1033
45647,0,0,2372,0,0,76
10472,6102,16500,1670,38453,3886,2361
51529,0,0,1795,0,10,28
34433,81,192,4581,425,26,59
33128,182,605,306,6242,0,32
91608,0,0,0,0,0,0
62702,307,5715,26535,372,378,1140
10473,1429,20299,1457,36564,1171,898
91607,2912,2162,18840,4525,1994,972
45646,0,0,199,0,0,0
10474,760,3670,136,8131,52,44
91701,11959,2177,19064,2937,3430,1303
51530,0,0,822,3,0,12
33127,301,16274,942,14026,41,320
91606,15142,1794,15489,9329,2457,829
10475,101,25838,3727,13140,574,1369
61812,0,0,393,25,0,0
91605,19680,1804,14617,14161,4135,980
34434,170,429,7288,392,61,76
10501,0,0,1109,87,4,26
62704,839,6555,30741,506,977,931
33126,829,308,1380,49739,415,164
45645,0,0,2902,43,0,170
91604,1365,1361,22526,1610,2199,1325
62703,589,10933,17831,297,365,1477
61813,9,18,1805,0,4,72
10471,275,1516,13067,4835,1534,374
62701,10,268,710,17,59,44
45651,21,20,5564,6,1,230
51526,11,0,1384,0,0,11
62693,8,0,1523,9,5,18
10466,1624,50135,2166,14221,1738,1761
91711,6716,1569,19251,2430,5630,1361
33131,1061,280,6521,7591,422,166
62694,7,0,2864,0,0,65
10467,8668,31986,8488,44843,6436,2624
91710,39141,4321,22924,7086,9578,4021
61814,128,0,1115,1,0,45
34432,400,758,10441,1283,310,154
45650,0,0,251,0,0,23
51527,31,0,422,0,0,1
10468,6732,13170,2889,49109,2610,1027
91709,17493,3076,24699,3839,25502,2657
33130,657,400,2874,21209,215,148
62695,0,0,201,0,0,8
10469,1576,37855,8374,18230,3769,1860
91708,598,340,643,275,737,300
45648,64,718,11062,60,0,219
91706,52023,1437,3015,6863,13387,942
10470,325,4932,6076,2498,522,221
51528,38,0,678,10,0,24
33129,419,218,4239,7257,421,25
91702,37326,1605,11169,4651,5710,1507
51531,0,0,708,2,0,0
10502,158,226,3670,401,946,112
91602,1729,1304,12423,892,1516,751
62707,35,272,6895,27,127,266
34442,67,472,12673,615,696,170
10510,23,330,7701,926,1048,395
62803,29,24,834,18,10,54
51535,15,0,1856,3,13,23
91423,2303,1799,24170,1946,2293,1629
10511,0,46,1724,359,41,93
45638,72,703,20122,260,7,348
33076,543,2707,20303,6379,2333,803
62806,42,15,3271,8,60,37
91411,6812,1082,9039,5801,1917,639
10512,92,635,19896,3521,619,313
33073,414,4611,16109,8489,1497,899
91406,17357,2597,15275,14186,4510,1460
51536,0,0,375,0,0,24
10514,0,224,10802,290,1182,190
61802,1035,3209,12500,118,1060,615
45636,0,0,182,0,0,6
34445,0,0,0,0,0,0
91405,18889,1970,13064,15170,4225,1038
62807,0,0,760,0,2,7
10516,29,44,4880,356,59,118
91403,853,1431,18027,1413,1786,1069
33071,1008,5591,20635,9604,1092,1038
51537,44,47,6198,205,31,133
10517,12,25,356,173,5,13
91436,231,161,12188,418,1165,190
91722,20078,714,6710,3341,3894,670
61810,0,4,311,5,0,2
10509,391,539,14314,3319,607,249
33125,730,1748,2222,52639,729,76
10503,0,0,111,26,0,0
91601,9321,2863,16363,5948,3096,1727
45644,12,2,4465,9,19,98
51532,3,0,771,0,0,5
61811,0,0,528,0,6,11
10504,28,80,6875,418,370,132
62711,190,538,14819,129,869,294
91506,3090,73,10299,1898,1934,831
33122,0,0,13,106,0,32
34436,138,27,7302,399,0,170
10505,0,14,714,59,118,0
91505,5130,880,17375,3127,2951,1522
62712,144,317,9357,40,334,188
45642,0,0,0,0,0,0
51533,19,23,852,0,9,6
10506,8,52,5473,200,180,50
91504,4101,529,14452,2215,4379,1157
33109,96,0,297,231,12,0
10507,30,514,4161,1863,80,211
91502,3124,438,5453,1491,1114,460
62801,659,2136,18322,157,136,715
33101,0,0,0,0,0,0
51534,202,68,8923,68,0,169
45640,239,194,16001,71,23,222
91501,1390,487,13719,1464,1851,1199
62808,63,0,1329,0,0,5
33132,252,1337,4009,5267,405,163
62692,6,9,1977,0,5,0
62675,39,34,5973,0,20,76
91759,32,4,371,3,4,3
45660,15,63,7463,46,5,501
51466,0,0,1086,10,0,0
10311,0,0,0,0,0,0
34293,228,205,32867,1325,631,368
91755,5499,52,925,910,19452,649
62677,53,21,2189,5,9,18
10312,494,538,50760,5179,3256,724
33141,937,1327,9942,25893,752,887
61820,1844,5189,22089,924,5376,1033
10310,2001,4949,9542,5898,1436,424
91754,9712,125,1514,1196,20129,838
51467,0,0,654,0,0,7
62681,0,349,5223,14,0,70
10314,1817,3641,57946,10833,12308,2040
33140,330,405,11948,8758,197,584
91752,16788,1872,7429,967,1984,761
34420,276,647,11516,1507,76,617
10451,3696,16711,950,25298,838,796
91750,8566,1453,17586,3032,2525,994
51501,4057,758,28126,547,357,929
45658,32,175,2460,0,29,22
62682,20,23,822,0,0,91
45659,0,7,2625,0,0,0
33142,937,21581,1199,30309,18,527
91761,37171,3451,9684,4496,3813,1318
61821,1167,6458,20071,528,1425,1135
91767,27415,4137,7745,5124,4027,1035
45663,35,0,6073,0,0,68
51462,64,0,912,0,5,24
33145,565,209,3009,28362,208,124
91766,47353,3362,6018,5952,7650,1765
10305,1410,1797,27152,5522,4703,949
61822,412,2354,16856,506,4449,528
62672,0,4,230,0,6,6
91765,6903,1934,9886,2275,24639,1856
10306,1663,1198,42988,5895,2820,467
45662,402,1138,27464,137,257,722
51463,0,1,656,0,0,0
33144,305,247,1452,25658,125,69
91764,34117,3338,7892,4888,2787,1281
10307,69,33,13440,1024,467,242
62673,16,21,500,0,0,0
34292,0,54,15472,117,105,36
91763,23423,1239,5674,2973,3797,680
10308,710,72,25515,2245,1509,296
45661,0,3,7298,0,0,93
33143,491,2918,9356,17883,1164,687
62674,0,1,1323,11,0,43
51465,129,2,615,12,2,6
91762,36723,3278,9721,4704,2571,1226
10309,571,232,27560,2921,1671,504
10452,6219,20953,1190,45085,746,1095
91748,11262,422,4504,1790,27750,837
33139,997,1211,16566,17280,988,985
10453,3748,22557,754,51639,1173,645
33135,696,362,1072,36580,124,33
91733,31034,50,1398,2754,9053,333
51521,13,0,1827,11,0,31
34429,0,285,6694,207,47,197
10460,2218,14709,1559,40232,966,582
61816,15,0,444,0,3,0
62690,12,7,4073,4,0,10
91732,37744,321,2716,3091,18384,599
45653,14,0,4132,0,0,32
10461,1503,3883,17867,20708,5498,796
33134,947,199,8170,31236,441,347
91731,18291,117,1350,1447,8705,269
51523,0,0,368,0,0,7
10462,4074,19301,9405,33946,9540,2459
62691,109,19,1836,19,33,34
91730,21010,8291,22480,6574,7613,2839
45652,12,0,4074,43,0,38
10463,2937,8665,22545,32826,2959,1725
33133,414,3621,10880,18574,256,483
91724,10828,787,8064,2483,3415,613
51525,0,0,1172,2,2,33
61815,25,0,221,0,0,11
10464,254,49,2797,978,209,13
34431,415,132,6853,288,0,115
91723,9140,852,4771,2060,1908,527
10459,2673,13155,632,30512,380,620
10465,363,3785,20371,18129,1490,812
91737,5230,2097,12094,2205,2999,883
62689,0,0,503,0,7,18
91746,24024,294,1150,2379,3137,335
61818,0,4,1595,3,0,65
51503,1217,456,34715,407,234,574
62684,13,0,5461,0,51,56
10454,5104,9700,725,22765,227,417
91745,21293,514,6996,3026,21391,823
45657,51,0,1958,20,44,107
33138,344,11515,8424,8717,361,834
10455,5135,10307,400,25843,410,684
91744,65247,930,3810,7245,8654,752
62685,15,51,1938,4,2,69
51510,148,102,3404,10,0,101
91741,4623,307,15920,1396,2639,895
10456,3547,33694,1375,51196,1206,1694
45656,0,40,5946,0,27,250
33137,718,5700,5869,10599,220,414
34428,13,203,8302,497,237,270
91740,8558,814,12167,1452,2440,1124
61817,38,5,2578,34,0,0
10457,3695,22854,1376,44010,922,1153
62688,9,0,610,0,0,16
33136,110,6171,1158,6027,152,69
51520,0,0,183,0,0,0
91739,11248,3209,12508,3471,7188,1057
10458,8374,14695,8313,46327,2409,1580
45654,0,0,862,0,0,6
91402,34273,1725,5539,18368,11201,659
45634,0,0,1974,1,0,45
10518,0,0,1364,0,81,33
10573,4695,1839,15855,15049,913,607
91307,2005,817,16666,2033,3930,1252
51556,0,0,421,0,5,4
62829,0,0,26,0,0,0
10576,19,65,4288,62,336,108
91306,16108,1543,11926,9804,8126,1536
45613,19,130,2636,8,0,112
33039,0,0,68,458,0,0
62830,25,0,1315,5,11,26
10577,53,749,4331,733,380,262
91304,14732,2171,19240,7440,7469,1794
33040,1259,3893,21514,7655,433,603
51557,16,0,785,1,0,1
34470,222,2286,13778,1390,375,374
10578,99,0,642,95,7,0
91303,13740,1308,5677,5128,3226,589
62831,0,17,474,1,0,18
33037,455,246,8060,1985,141,184
10579,67,0,8460,652,40,219
91302,668,467,19903,1007,2644,1217
45612,2,27,5183,9,0,147
51558,21,0,383,21,2,3
91301,1978,509,19900,1329,1570,721
10580,343,47,14661,871,961,387
61770,16,5,1080,9,0,5
45614,122,296,4364,0,45,57
91311,5743,1474,19091,3570,6898,1703
10570,85,469,10539,1169,450,254
10553,144,9237,238,673,158,156
33050,494,532,5467,2646,139,139
91325,7294,2629,13544,3576,5345,1170
51553,0,0,1069,0,0,5
45617,0,0,121,99,0,45
10560,97,103,4118,280,82,250
34461,229,391,8999,265,150,43
61772,0,0,291,0,0,0
62825,0,0,156,0,0,0
