demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
64192,0,0,0,0,0,0
43527,259,6,1618,46,7,22
13410,0,0,207,0,0,2
85053,5620,1142,18297,1029,1221,1095
30290,222,2245,5443,455,164,205
60607,1732,3928,15022,685,5992,1018
44273,106,50,6961,23,19,36
85048,3229,1430,25761,1458,2234,1509
13406,0,0,709,4,4,13
64165,0,0,114,0,0,0
85120,4125,316,23739,218,152,1217
64163,40,39,438,3,85,18
65619,330,129,6327,38,40,327
15205,152,2010,18334,287,898,734
13368,0,16,1201,19,0,23
31518,128,21,594,0,0,0
82219,0,0,16,0,0,0
85121,107,0,142,0,58,1846
43524,102,0,1032,13,0,8
15206,267,11277,14185,684,1614,927
35477,0,210,0,0,0,0
54490,38,0,788,7,0,2
13367,80,81,8156,104,82,106
30285,0,25,394,0,0,6
53403,5521,6578,13065,495,113,479
44280,18,0,4169,262,0,21
85122,22696,2415,25001,1450,866,2513
82217,0,0,17,0,0,0
64161,24,0,272,13,2,1
15207,87,2516,8955,529,266,230
65620,0,0,274,0,0,0
61230,19,0,1199,6,8,16
31519,312,417,2269,78,15,3
30286,609,6680,15505,0,131,156
82221,26,0,658,12,0,14
44278,32,618,16430,97,166,521
53404,4430,3958,5485,679,122,864
54488,44,2,1122,9,0,16
31513,1573,2888,11331,89,149,294
35480,0,276,961,0,0,0
85087,744,71,7054,53,292,137
30288,773,7169,760,310,76,173
65618,0,0,306,0,0,0
13404,0,0,177,0,0,6
82223,18,0,1334,0,0,17
15203,43,433,9013,172,192,162
53405,3169,3536,16408,867,324,862
60606,108,72,2219,0,510,102
82224,0,0,22,0,0,0
44276,5,11,1875,0,0,46
43525,57,0,1350,0,0,15
85118,396,39,10675,164,202,96
64164,0,0,261,0,0,0
13403,127,1102,5174,655,28,244
31516,262,1301,12440,210,49,403
61201,3283,7703,24625,607,953,1573
82222,0,0,103,0,0,0
15204,0,3717,4074,76,199,488
85119,1902,211,17894,229,489,546
13402,0,2,1642,13,4,15
54489,1,11,1561,0,0,54
36029,0,640,339,0,0,115
13365,22,61,8273,196,48,115
65613,301,228,16440,184,12,448
15145,61,1310,5401,134,13,231
61109,4475,3273,17283,675,1059,692
13431,0,7,1712,49,0,106
15136,200,3134,17523,123,356,783
85033,49128,3099,7993,2586,360,1262
65609,0,0,668,0,0,0
31409,65,55,465,58,26,23
54481,587,269,26297,393,1145,698
35503,49,61,8215,0,31,218
43532,91,32,3865,144,6,39
53507,32,48,2069,36,9,48
30295,51,511,3558,2,6,72
85034,3005,393,607,101,49,167
82324,0,0,236,6,0,0
13428,37,5,1792,10,39,6
15137,0,2029,7701,36,37,184
65610,125,55,5593,5,22,105
64423,0,18,760,6,7,17
44265,0,0,0,0,0,0
82323,7,0,81,4,0,0
85035,45567,2801,3922,2642,356,2182
31410,548,540,20178,645,1448,418
13425,53,12,2221,7,0,13
30294,1044,34136,3064,913,679,481
44264,0,151,2639,31,20,178
82325,5,0,910,0,0,23
64424,125,66,4250,37,0,89
85032,17449,2093,44542,2452,2715,2706
82331,53,0,2329,19,6,119
36025,487,3298,3063,141,8,113
53510,40,15,1420,4,18,58
85028,1640,291,16222,386,427,642
35504,222,322,11746,58,155,162
15133,23,138,5949,86,26,92
31407,35,4831,5483,788,210,484
13436,0,0,95,0,0,0
44262,0,52,4757,22,216,0
85029,11647,2634,26656,1923,1175,1478
82329,6,0,321,24,0,4
53506,0,10,998,6,0,17
43533,24,0,1560,0,0,12
65608,74,8,9114,102,2,83
30296,1504,23463,1494,361,995,441
64426,1,0,306,0,0,1
13435,0,0,267,1,1,1
85031,23715,1549,4037,793,165,746
82327,64,9,682,14,0,81
15135,18,41,5109,34,0,27
60610,580,5767,27218,1587,2514,772
31408,1222,5479,3396,370,130,132
53508,117,22,5286,73,27,72
13433,0,9,1955,7,0,32
54480,46,0,1283,0,10,24
13415,0,0,73,15,0,0
15139,28,52,6149,33,150,8
54482,193,149,8555,9,107,141
15143,39,588,17455,170,1311,494
64420,0,0,70,0,0,0
44270,0,68,8387,8,0,170
53504,9,0,2051,5,0,13
85043,25939,2703,3976,1340,569,1650
61112,0,0,95,0,0,0
13417,0,19,3208,0,30,84
82244,2,0,467,0,0,2
30292,19,515,5911,60,2,44
85044,5493,2223,25650,1774,1827,2607
15144,0,5,4041,53,6,19
31419,2416,20818,28730,2581,2137,1958
60608,37382,13510,13611,4204,8331,1034
64402,10,60,2642,0,19,15
13416,13,25,2220,5,0,57
44272,23,32,4911,15,21,60
53503,7,11,1831,8,11,53
35490,8,177,3814,65,0,124
82243,0,0,116,0,0,0
54485,3,0,372,0,0,4
43528,516,1801,12511,233,481,590
36027,685,7801,7084,175,117,297
85045,601,341,5428,247,622,226
43529,70,7,231,6,1,10
82301,1724,175,6542,605,28,217
54484,69,20,4869,0,4,52
13418,0,0,334,0,0,5
36026,0,49,913,0,0,0
85037,29349,4422,10947,2288,1380,1316
82322,5,0,153,0,0,0
13424,21,109,2130,52,0,109
61111,1646,897,20216,182,511,900
31411,38,90,7508,182,119,66
43531,0,0,153,0,0,0
60609,31090,14739,9307,3021,3399,694
85040,19878,5680,3799,1574,499,990
15140,35,563,2350,25,91,195
13421,77,198,12571,260,120,376
64422,0,0,312,0,0,0
44266,201,1131,30680,87,123,1124
64421,1,0,729,0,0,44
53505,9,0,433,0,0,2
85041,39954,8820,9204,1772,1174,1759
35501,250,1856,7041,396,46,330
13420,68,7,1131,4,0,3
82321,122,0,546,9,0,1
30293,0,1153,1803,0,0,10
15142,0,13,1218,0,54,13
31415,197,11637,365,74,29,161
65612,0,0,1118,0,0,116
85042,24423,6049,9130,1449,832,1937
65611,10,0,1841,64,0,34
85123,4228,259,5177,223,24,649
64158,181,266,4070,181,125,244
82215,9,0,124,0,0,0
82063,0,0,157,0,0,0
31537,649,3377,6081,453,48,247
13340,3,77,7678,156,12,123
85201,16665,2701,23952,1944,1103,3958
64147,11,364,229,23,4,8
30269,1249,2500,27276,1488,2227,759
15221,66,14398,14126,395,497,1535
54501,111,161,18984,81,74,599
35470,18,2849,1750,0,311,11
61236,29,0,89,0,0,3
43516,115,15,2718,97,9,26
13339,3,18,6080,26,63,117
82061,0,0,0,0,0,0
85202,9383,1639,21733,1819,1457,3064
65631,42,16,4776,38,18,20
53223,686,14231,10265,281,2106,945
64146,148,192,1046,0,0,40
15222,11,311,3334,120,326,94
44304,65,1551,3152,156,522,208
13338,0,18,1042,0,0,28
85203,10681,1467,21318,1120,299,2004
82060,0,0,583,0,0,0
15223,25,113,6546,93,0,60
53224,1796,11573,6427,354,1371,895
44303,105,881,6225,115,223,221
85194,2091,83,4126,215,231,486
65630,37,0,286,0,0,6
15218,189,3228,9477,229,261,373
31533,984,6458,8098,431,312,248
64150,153,285,2437,16,248,109
60602,5,30,904,9,294,10
13343,0,3,1924,9,0,0
44302,0,2077,3141,22,76,171
35473,299,3435,11934,39,230,56
65629,6,0,614,0,0,6
82072,1258,401,12904,563,747,528
53225,656,13914,8608,479,1767,811
85192,885,0,437,4,5,8
31539,1638,2430,10225,40,0,85
61235,8,0,1379,6,5,16
30273,1116,9415,2297,672,145,680
31535,1704,2255,7733,292,0,181
43517,150,63,3800,22,10,23
54499,110,18,2619,8,6,239
13342,0,0,213,0,0,0
64149,0,0,228,0,0,0
85193,2424,38,1302,35,49,564
36033,0,1785,2287,31,0,29
82070,1313,94,17843,293,389,657
15220,48,1402,13758,186,1815,596
13341,0,0,149,0,0,0
15219,125,8108,6146,377,480,774
85173,1934,18,851,73,20,44
60601,316,1066,9089,753,2229,242
30268,1262,3134,5118,357,9,62
43512,2401,597,23568,646,103,455
85208,7054,835,27569,934,313,655
64138,1529,12329,10822,419,590,1339
15226,89,669,11745,200,360,555
65633,31,3,4170,0,3,102
13332,0,7,2641,11,0,93
31544,0,301,292,0,0,2
82054,0,45,979,0,0,0
30263,2157,14734,35263,1332,953,1492
85209,5110,874,31944,1142,1178,1490
13331,0,0,156,0,0,0
60586,6869,3706,32214,2510,1096,849
64137,265,3447,6205,563,328,490
15227,145,1414,24682,641,1241,663
53220,2951,1001,19469,1537,937,493
44307,0,5884,671,78,3,351
82053,14,0,1552,0,0,6
85210,17212,2017,15725,1464,571,1718
35466,31,944,4217,0,0,29
65634,16,3,766,0,0,11
54513,0,0,425,0,0,1
61239,95,364,690,9,15,77
31545,233,3007,11547,614,41,360
54512,0,0,722,0,0,28
44306,352,8492,10694,232,502,1309
13333,0,0,46,0,0,0
82055,29,0,147,0,0,0
36034,0,47,470,0,18,54
54511,0,31,1178,26,10,68
82059,0,0,160,0,0,0
13337,21,0,580,12,30,15
43515,248,28,8439,211,70,18
53222,812,6505,16723,404,937,701
64145,155,514,4085,59,69,78
44305,104,4471,16750,73,276,1367
85205,4483,1154,32705,1173,576,1285
13335,5,48,1484,16,12,5
15224,157,2602,7445,132,266,189
85204,27321,1096,29992,2785,871,2518
65632,74,58,2282,103,0,89
35469,0,115,77,0,0,7
82058,0,0,85,0,0,0
61238,29,84,3166,0,37,0
85206,4500,1504,26684,1244,713,770
13334,0,0,1159,0,0,4
15225,8,33,1043,35,5,21
64139,12,339,1385,53,19,42
53221,4816,2456,25601,3603,1987,1544
31543,0,26,4333,205,0,19
30265,1112,4617,24778,1442,1004,1072
85207,5700,978,37616,1346,489,1085
31542,20,151,2676,0,0,0
13345,0,0,184,0,0,0
82073,2,8,26,7,3,5
30274,2764,25895,2380,1234,1450,830
85135,437,0,61,4,0,0
82212,11,0,365,0,0,2
64156,216,355,5908,141,0,367
43522,109,3,2788,42,18,13
30281,3408,31743,27154,1910,2836,2665
54493,0,0,585,0,8,3
13360,0,0,354,0,0,0
31523,455,1239,11338,722,85,332
85137,1202,15,1186,49,48,103
53235,864,232,7515,89,249,386
15211,192,871,9475,79,185,182
60604,15,21,361,12,210,0
13357,53,71,10247,249,94,255
82210,21,0,430,0,0,1
85138,7041,3936,20263,1161,1226,1571
